customer_licence_number,name,gender,birthday,street,addr_number,postal_code,city,country,phonenumber,homenumber,email
253058290,Elvyn Redolfi,Male,1998-11-26,Waubesa,495,52579,Sanzhou,China,6725786693,,eredolfi0@hhs.gov
482830386,Cortie Aslott,Male,1999-03-24,Merry,105,75706,SΕ‚awatycze,Poland,2968019694,8561664169,caslott1@smh.com.au
347062179,Brooks Heineken,Female,1998-01-16,Northfield,212,98455,Tianyi,China,2679079922,,bheineken2@ca.gov
691091834,Agnese Remon,Female,1998-09-14,Rutledge,967,06561,Badou,Togo,6054080628,,aremon3@livejournal.com
215254014,Cris Trapp,Male,2000-09-12,Cody,396,80728,Kashiwa,Japan,9394917993,,ctrapp4@nasa.gov
699818800,Archibald Crownshaw,Male,2000-06-06,Oxford,948,06014,Talangnan,Philippines,6900746454,,acrownshaw5@weather.com
073054047,Francisca Sleicht,Male,2000-07-30,Dorton,533,95390,Pamatang,Indonesia,6114278712,7387228973,fsleicht6@gnu.org
674197533,Gale Sailer,Female,1997-11-25,Mendota,976,61711,Shimen,China,5625690359,6838165767,gsailer7@jiathis.com
844477349,Samuele Veivers,Female,1996-03-18,Comanche,090,94300,Cola,China,1555755038,9175414104,sveivers8@nasa.gov
262594650,Nefen Jeves,Female,1996-06-14,Jenna,211,02426,Deqing,China,1369610831,8356351294,njeves9@npr.org
740684491,Zebedee Watt,Female,1999-10-21,Larry,861,28661,Ystad,Sweden,9749422864,,zwatta@nyu.edu
652884232,Dwain Farman,Male,2000-09-24,Schlimgen,486,91820,Newark,United States,7285535265,,dfarmanb@is.gd
594529445,Jud March,Male,1997-09-02,Merrick,691,93300,Tenβ€™gushevo,Russia,8808899071,6202375329,jmarchc@alexa.com
705534713,Tomi McCrainor,Male,1996-09-07,Sugar,970,52347,Tegalbuleud,Indonesia,1751906116,1463479336,tmccrainord@tinypic.com
753909504,Jarred Gurling,Male,1997-09-04,Heffernan,082,36339,Safed,Israel,4377574833,,jgurlinge@loc.gov
080737317,Al Rounding,Male,2000-04-12,Cody,825,75532,Vila de Sal Rei,Cape Verde,9525229521,0987017225,aroundingf@wired.com
238281762,Kayla Le Grice,Female,1997-04-04,Gerald,759,46979,Caihua,China,3999178833,,kleg@symantec.com
284379575,Thelma Maddern,Male,1998-01-13,Garrison,956,12086,Yuanyang Zhen,China,3421163987,,tmaddernh@typepad.com
015384105,Inessa Damant,Male,2001-01-06,Twin Pines,538,86831,Binalbagan,Philippines,7668133844,,idamanti@netscape.com
775313463,Donella Shelton,Female,1997-02-21,Saint Paul,305,30778,Osh,Kyrgyzstan,6799355602,,dsheltonj@wp.com
416113547,Celeste MacManus,Female,1997-03-26,American,750,74254,Hodkovice nad Mohelkou,Czech Republic,2996542916,8819518651,cmacmanusk@4shared.com
914548857,Shaughn Gheorghescu,Female,1995-10-23,Nova,826,71446,Ntoroko,Uganda,2452393916,8377016516,sgheorghescul@icio.us
401270906,Robina Kehoe,Female,1997-10-18,4th,884,26900,PiraΓ­,Brazil,4974660322,,rkehoem@cmu.edu
821275646,Arther Brunel,Male,1998-03-27,Sloan,149,10324,Bobigny,France,4778209362,,abruneln@yahoo.com
979404430,Thurston Fullick,Male,1996-04-11,Reindahl,926,08185,Asaita,Ethiopia,8165363034,,tfullicko@clickbank.net
263085489,Shane Preist,Male,1998-09-16,Prairieview,992,16613,KarpokhΓ³rion,Greece,8512470178,,spreistp@china.com.cn
027307786,Gaspard Caistor,Female,2000-03-04,8th,489,31583,AcharnΓ©s,Greece,9405893459,0862398991,gcaistorq@forbes.com
149817063,Violet Guard,Female,1997-02-07,Anthes,595,49171,Mirandela,Portugal,0735737258,,vguardr@mozilla.org
