vehicle_driver_id,vin_contract_id,drivers_licence_number
1,1,344876017
2,2,427107562
3,3,320810695
4,4,91150336
5,5,125148122
6,6,18571366
7,7,906350742
8,8,506774566
9,9,30222791
10,10,105574795
11,11,163276932
12,12,382975472
13,13,21801550
14,14,253587900
15,15,420968466
16,16,688347113
17,17,954377501
18,18,413855228
19,19,91762584
20,20,93155273
21,21,673398797
22,22,973434573
23,23,568126609
24,24,650275988
25,25,871126304
26,26,767599821
27,27,309609931
28,28,548990707
29,29,658004608
30,30,663238280
31,31,301478378
32,32,275139698
33,33,283834716
34,34,823326011
35,35,852334341
36,36,518469050
37,37,133851707
38,38,572528143
39,39,208650566
40,40,383978069
41,41,324444102
42,42,413642082
43,43,127424765
44,44,468258407
45,45,297054821
46,46,582117620
47,47,431170750
48,48,36542278
49,49,101859032
50,50,527552328
51,51,962773834
52,52,800041596
53,53,847640979
54,54,290719309
55,55,29340284
56,56,640839868
57,57,481977818
58,58,536298300
59,59,477095177
60,60,406603767
61,61,611574958
62,62,98386883
63,63,248690486
64,64,566984475
65,65,193366498
66,66,565350495
67,67,625152211
68,68,205801892
69,69,750404291
70,70,70359830
71,71,780114988
72,72,302703417
73,73,1820717
74,74,438136608
75,75,24935550
76,76,336695217
77,77,512236565
78,78,53786847
79,79,267652274
80,80,899637093
81,81,310395007
82,82,921617517
83,83,898005820
84,84,257736836
85,85,366622334
86,86,434490964
87,87,443417265
88,88,34143746
89,89,33532838
90,90,930347522
91,91,906546456
92,92,543640790
93,93,666077425
94,94,853484923
95,95,711452844
96,96,447936427
97,97,798758743
98,98,457350477
99,99,941437672
100,100,50850197
101,101,928323953
102,102,717483056
103,103,982956367
104,104,488565142
105,105,318118382
106,106,597565355
107,107,285329072
108,108,262851810
109,109,424178212
110,110,841378498
111,111,906192947
112,112,504405942
113,113,970387687
114,114,694509223
115,115,916959971
116,116,336516692
117,117,644772181
118,118,193449699
119,119,724550586
120,120,431073177
121,121,370124663
122,122,708667533
123,123,465629870
124,124,455868558
125,125,167182211
126,126,370480897
127,127,90034255
128,128,961832478
129,129,791566141
130,130,525737393
131,131,75650068
132,132,349705121
133,133,684889697
134,134,724709040
135,135,390943257
136,136,315120496
137,137,536188172
138,138,217021090
139,139,747610893
140,140,845119819
141,141,38517655
142,142,359173827
143,143,481032906
144,144,503647910
145,145,728619227
146,146,202130863
147,147,444019598
148,148,978562551
149,149,287106348
150,150,317803478
151,151,839936337
152,152,41719826
153,153,943858882
154,154,94038882
155,155,581793924
156,156,548524069
157,157,540667233
158,158,325719163
159,159,389647704
160,160,304654095
161,161,375731392
162,162,207618720
163,163,239877499
164,164,14486520
165,165,539256049
166,166,629438538
167,167,568580229
168,168,42752667
169,169,465252700
170,170,545463798
171,171,594200975
172,172,797744248
173,173,22105825
174,174,38950861
175,175,389322643
176,176,923006020
177,177,230566878
178,178,363188485
179,179,299470395
180,180,471630605
181,181,507505962
182,182,549206320
183,183,21373743
184,184,384072631
185,185,997189924
186,186,113084477
187,187,948946016
188,188,202837087
189,189,990894542
190,190,665343649
191,191,942278833
192,192,580210998
193,193,408818163
194,194,821996238
195,195,765924185
196,196,544060363
197,197,53040519
198,198,274920266
199,199,530086996
200,200,130042800
201,124,595346072
202,125,345309831
203,126,288673150
204,127,290497605
205,128,437157740
206,129,701550653
207,130,627736332
208,131,387783416
209,132,500782079
210,173,927230027
211,169,103953433
212,129,152865184
213,19,535029638
214,29,224639018
215,62,416227942
216,42,702458600
217,52,578764580
218,184,145599183
219,73,487590444
220,63,857818981
221,103,65415673
222,20,989217443
223,182,75868170
224,56,475740562
225,151,201154501
226,184,417486641
227,71,671766711
228,168,869841138
229,183,954052204
230,129,913947668
231,92,760906775
232,102,318789404
233,193,558575485
234,177,457486392
235,157,197660186
236,192,131884271
237,93,403194433
238,143,730756583
239,135,374822567
240,107,811993264
241,80,468900420
242,189,346637666
243,74,501542021
244,27,425010746
245,151,642239159
246,72,486688151
247,175,979732599
248,155,368736955
249,115,352638925
250,67,887652998
251,61,73054047
252,72,29888644
253,85,608974804
254,25,577917749
255,66,70441417
256,172,412007937
257,96,52295409
258,167,883241081
259,164,241080237
260,199,263085489
261,96,39891408
262,117,284379575
263,97,984213678
264,167,975804379
265,165,699818800
266,175,401270906
267,88,482830386
268,121,215254014
269,10,942279734
270,58,975804379
271,183,733648660
272,72,92468778
273,54,262497957
274,91,789904591
275,143,412007937
276,55,27307786
277,78,438576901
278,88,674197533
279,8,70441417
280,53,218801469
281,82,947550695
282,55,15384105
283,7,942279734
284,84,70441417
285,149,349823733
286,125,594529445
287,172,851241567
288,64,262594650
289,91,29612028
290,187,416113547
291,148,48249074
292,155,904660810
293,105,238281762
294,133,789904591
295,161,284379575
296,84,361335348
297,50,825059106
298,140,349823733
299,40,928909963
300,124,926897830
301,120,416113547
